strain,long_strain,Y,M
CC001,CC001-UncM4363_NYGC,G,B
CC002,CC002-UncM4575_NYGC,F,G
CC003,CC003-UncM4601_NYGC,D,E
CC004,CC004-TauUncM4292_NYGC,D,C
CC005,CC005-TauUncM4714_NYGC,E,D
CC006,CC006-TauUncM4698_NYGC,E,G
CC007,CC007-UncM3406_NYGC,D,B
CC008,CC008-GeniUncM983_UNC,F,H
CC009,CC009-UncM3045_NYGC,C,E
CC010,CC010-GeniUncM3518_NYGC,C,A
CC011,CC011-UncM3070_NYGC,C,E
CC012,CC012-GeniUncM1359_NYGC,A,B
CC013,CC013-GeniUncM1075_NYGC,E,E
CC015,CC015-UncM1649_NYGC,C,A
CC016,CC016-GeniUncM1077_NYGC,A,H
CC017,CC017-UncM1453_NYGC,B,C
CC018,CC018-UncM1136_NYGC,D,B
CC019,CC019-TauUncM6839_UNC,C,E
CC020,CC020-GeniUncM533_NYGC,B,G
CC021,CC021-UncM1515_NYGC,B,G
CC022,CC022-GeniUncM444_NYGC,G,A
CC023,CC023-GeniUncM704_NYGC,A,D
CC024,CC024-GeniUncM1060_NYGC,D,A
CC025,CC025-GeniUncM1062_NYGC,D,F
CC026,CC026-GeniUncM3004_UNC,E,F
CC027,CC027-GeniUncM756_NYGC,B,F
CC028,CC028-GeniUncM899_NYGC,F,E
CC029,CC029-UncM720_NYGC,E,H
CC030,CC030-GeniUncM1011_NYGC,C,F
CC031,CC031-GeniUncM411_NYGC,B,A
CC032,CC032-GeniUncM1247_NYGC,G,A
CC033,CC033-GeniUncM571_NYGC,H,F
CC034,CC034-UncM734_NYGC,D,H
CC035,CC035-UncM1489_UNC,A,F
CC036,CC036-UncM819_NYGC,D,B
CC037,CC037-TauUncM955_NYGC,D,C
CC038,CC038-GeniUncM806_NYGC,F,C
CC039,CC039-UncM3730_NYGC,H,G
CC040,CC040-TauUncM4198_NYGC,H,D
CC041,CC041-TauUncM5135_NYGC,E,A
CC042,CC042-GeniUncM4068_NYGC,B,G
CC043,CC043-GeniUncM797_NYGC,D,B
CC044,CC044-UncM1328_NYGC,G,C
CC045,CC045-GeniUncM817_NYGC,G,H
CC046,CC046-UncM1016_NYGC,B,G
CC047,CC047-UncM1079_NYGC,C,A
CC049,CC049-TauUncM4214_UNC,F,B
CC050,CC050-UncM1820_NYGC,E,G
CC051,CC051-TauUncM6059_NYGC,C,A
CC052,CC052-GeniUncM675_NYGC,E,H
CC053,CC053-UncM907_UNC,D,F
CC055,CC055-TauUncM3799_NYGC,C,G
CC056,CC056-GeniUncM534_NYGC,E,C
CC057,CC057-UncM750_NYGC,E,F
CC058,CC058-UncM773_NYGC,F,C
CC059,CC059-TauUncM4642_NYGC,C,A
CC060,CC060-UncM813_NYGC,B,E
CC061,CC061-GeniUncM887_NYGC,F,D
CC062,CC062-UncM733_NYGC,E,F
CC063,CC063-UncM615_NYGC,A,F
CC065,CC065-UncM3566_NYGC,F,B
CC068,CC068-TauUncM3696_NYGC,B,G
CC070,CC070-TauUncM3849_UNC,E,G
CC071,CC071-TauUncM3425_NYGC,B,C
CC072,CC072-TauUncM3054_NYGC,E,A
CC073,CC073-UncM796_NYGC,G,B
CC074,CC074-UncM495_NYGC,D,G
CC075,CC075-UncM516_NYGC,A,E
CC076,CC076-UncM508_UNC,A,C
CC078,CC078-UncM1502_UNC,E,A
CC079,CC079-UncM1086_UNC,H,A
CC080,CC080-UncM1283_UNC,D,F
CC081,CC081-UncM332_UNC,F,C
CC082,CC082-UncM505_UNC,D,A
CC083,CC083-UncM3234_UNC,F,H
